"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::UserInfoInterface","operator=","firebase::auth::UserInfoInterface::operator=","return","UserInfoInterface &","UserInfoInterface &","auth/src/include/firebase/auth/user.h",39
"firebase::auth::UserInfoInterface","phone_number","firebase::auth::UserInfoInterface::phone_number","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",63
"firebase::auth::UserInfoInterface","uid","firebase::auth::UserInfoInterface::uid","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",58
"firebase::auth::UserInfoInterface","email","firebase::auth::UserInfoInterface::email","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",59
"firebase::auth::UserInfoInterface","provider_id","firebase::auth::UserInfoInterface::provider_id","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",62
"firebase::auth::UserInfoInterface","photo_url","firebase::auth::UserInfoInterface::photo_url","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",61
"firebase::auth::UserInfoInterface","display_name","firebase::auth::UserInfoInterface::display_name","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/user.cc",60
"firebase::auth::PlayGamesAuthProvider","operator=","firebase::auth::PlayGamesAuthProvider::operator=","return","PlayGamesAuthProvider &","PlayGamesAuthProvider &","auth/src/include/firebase/auth/credential.h",670
"firebase::auth::PlayGamesAuthProvider","GetCredential","firebase::auth::PlayGamesAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/playgames_auth_provider.cc",26
"firebase::auth::AdditionalUserInfo","operator=","firebase::auth::AdditionalUserInfo::operator=","return","AdditionalUserInfo &","AdditionalUserInfo &","auth/src/include/firebase/auth/user.h",121
"firebase::auth::YahooAuthProvider","operator=","firebase::auth::YahooAuthProvider::operator=","return","YahooAuthProvider &","YahooAuthProvider &","auth/src/include/firebase/auth/credential.h",699
"firebase::auth::MicrosoftAuthProvider","operator=","firebase::auth::MicrosoftAuthProvider::operator=","return","MicrosoftAuthProvider &","MicrosoftAuthProvider &","auth/src/include/firebase/auth/credential.h",265
"firebase::auth::GameCenterAuthProvider","operator=","firebase::auth::GameCenterAuthProvider::operator=","return","GameCenterAuthProvider &","GameCenterAuthProvider &","auth/src/include/firebase/auth/credential.h",213
"firebase::auth::GameCenterAuthProvider","GetCredential","firebase::auth::GameCenterAuthProvider::GetCredential","return","Future<Credential>","Future<Credential>","auth/src/desktop/auth_providers/gamecenter_auth_provider.cc",29
"firebase::auth::GameCenterAuthProvider","GetCredentialLastResult","firebase::auth::GameCenterAuthProvider::GetCredentialLastResult","return","Future<Credential>","Future<Credential>","auth/src/desktop/auth_providers/gamecenter_auth_provider.cc",44
"firebase::auth::AuthData","operator=","firebase::auth::AuthData::operator=","return","AuthData &","AuthData &","auth/src/data.h",75
"firebase::auth::InternalAuthResultProvider","operator=","firebase::auth::InternalAuthResultProvider::operator=","return","InternalAuthResultProvider &","InternalAuthResultProvider &","auth/src/android/common_android.h",63
"firebase::auth::InternalAuthResultProvider","GetCredential","firebase::auth::InternalAuthResultProvider::GetCredential","return","Credential","Credential","auth/src/android/common_android.h",65
"firebase::auth::AuthCredential","operator=","firebase::auth::AuthCredential::operator=","return","AuthCredential &","AuthCredential &","auth/src/desktop/auth_credential.h",25
"firebase::auth::AuthCredential","GetProvider","firebase::auth::AuthCredential::GetProvider","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_credential.h",30
"firebase::auth::IdTokenRefreshThread","operator=","firebase::auth::IdTokenRefreshThread::operator=","return","IdTokenRefreshThread &","IdTokenRefreshThread &","auth/src/desktop/auth_desktop.h",57
"firebase::auth::IdTokenRefreshThread","CurrentAuthToken","firebase::auth::IdTokenRefreshThread::CurrentAuthToken","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",67
"firebase::auth::FunctionRegistryAuthStateListener","operator=","firebase::auth::FunctionRegistryAuthStateListener::operator=","return","FunctionRegistryAuthStateListener &","FunctionRegistryAuthStateListener &","auth/src/desktop/auth_desktop.h",128
"firebase::auth::UserDataPersist","operator=","firebase::auth::UserDataPersist::operator=","return","UserDataPersist &","UserDataPersist &","auth/src/desktop/user_desktop.h",100
"firebase::auth::UserDataPersist","DeleteUserData","firebase::auth::UserDataPersist::DeleteUserData","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",633
"firebase::auth::UserDataPersist","SaveUserData","firebase::auth::UserDataPersist::SaveUserData","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",569
"firebase::auth::UserDataPersist","LoadUserData","firebase::auth::UserDataPersist::LoadUserData","return","Future<basic_string<char, char_traits<char>, allocator<char>>>","Future<basic_string<char, char_traits<char>, allocator<char>>>","auth/src/desktop/user_desktop.cc",558
"firebase::auth::IdTokenRefreshListener","operator=","firebase::auth::IdTokenRefreshListener::operator=","return","IdTokenRefreshListener &","IdTokenRefreshListener &","auth/src/desktop/auth_desktop.h",37
"firebase::auth::IdTokenRefreshListener","GetCurrentToken","firebase::auth::IdTokenRefreshListener::GetCurrentToken","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.cc",128
"firebase::auth::AuthImpl","operator=","firebase::auth::AuthImpl::operator=","return","AuthImpl &","AuthImpl &","auth/src/desktop/auth_desktop.h",142
"firebase::auth::AuthResultCompletionHandle","operator=","firebase::auth::AuthResultCompletionHandle::operator=","return","AuthResultCompletionHandle &","AuthResultCompletionHandle &","auth/src/desktop/auth_desktop.h",108
"firebase::auth::Promise<void>","operator=","firebase::auth::Promise<void>::operator=","return","Promise<void> &","Promise<void> &","auth/src/desktop/promise.h",86
"firebase::auth::Promise<void>","future","firebase::auth::Promise<void>::future","return","Future<void>","Future<void>","auth/src/desktop/promise.h",121
"firebase::auth::Promise<void>","InvalidateLastResult","firebase::auth::Promise<void>::InvalidateLastResult","return","Future<void>","Future<void>","auth/src/desktop/promise.h",111
"firebase::auth::Promise<void>","LastResult","firebase::auth::Promise<void>::LastResult","return","Future<void>","Future<void>","auth/src/desktop/promise.h",116
"firebase::auth::Promise<ResultT>","future","firebase::auth::Promise<ResultT>::future","return","Future<ResultT>","Future<ResultT>","auth/src/desktop/promise.h",76
"firebase::auth::Promise<ResultT>","InvalidateLastResult","firebase::auth::Promise<ResultT>::InvalidateLastResult","return","Future<ResultT>","Future<ResultT>","auth/src/desktop/promise.h",66
"firebase::auth::Promise<ResultT>","LastResult","firebase::auth::Promise<ResultT>::LastResult","return","Future<ResultT>","Future<ResultT>","auth/src/desktop/promise.h",71
"firebase::auth::AuthenticationResult","operator=","firebase::auth::AuthenticationResult::operator=","return","AuthenticationResult &","AuthenticationResult &","auth/src/desktop/authentication_result.h",36
"firebase::auth::AuthenticationResult","error","firebase::auth::AuthenticationResult::error","return","AuthError","AuthError","auth/src/desktop/authentication_result.h",65
"firebase::auth::AuthenticationResult","uid","firebase::auth::AuthenticationResult::uid","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/authentication_result.cc",29
"firebase::auth::AuthenticationResult","id_token","firebase::auth::AuthenticationResult::id_token","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/authentication_result.h",73
"firebase::auth::AuthenticationResult","SetAsCurrentUser","firebase::auth::AuthenticationResult::SetAsCurrentUser","return","AuthResult","AuthResult","auth/src/desktop/authentication_result.cc",38
"firebase::auth::AuthenticationResult","FromAuthenticatedUserData","firebase::auth::AuthenticationResult::FromAuthenticatedUserData","return","AuthenticationResult","AuthenticationResult","auth/src/desktop/authentication_result.h",157
"firebase::auth::AuthenticationResult","FromResponse","firebase::auth::AuthenticationResult::FromResponse","return","AuthenticationResult","AuthenticationResult","auth/src/desktop/authentication_result.h",127
