"class_name","field_name","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::AuthDataHandle<AuthResult, Request>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::UserView::Reader","user_data_","field","UserData *","UserData *","auth/src/desktop/user_view.h",68
"firebase::auth::UserView::Reader","mutex_","field","Mutex *","Mutex *","auth/src/desktop/user_view.h",70
"firebase::auth::UserView::Reader","auth_data_","field","AuthData *","AuthData *","auth/src/desktop/user_view.h",69
"firebase::auth::CredentialImpl","auth_credential","field","shared_ptr<AuthCredential>","shared_ptr<AuthCredential>","auth/src/desktop/credential_impl.h",29
"firebase::auth::VerifyAssertionRequest","post_body_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/rpcs/verify_assertion_request.h",66
"firebase::auth::FacebookAuthCredential","access_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/facebook_auth_credential.h",46
"firebase::auth::GitHubAuthCredential","token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/github_auth_credential.h",45
"firebase::auth::GoogleAuthCredential","access_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/google_auth_credential.h",53
"firebase::auth::GoogleAuthCredential","id_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/google_auth_credential.h",52
"firebase::firestore::jni::Object","object_","field","error","error","firestore/src/jni/object.h",74
"firebase::auth::OAuthCredential","access_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/oauth_auth_credential.h",60
"firebase::auth::OAuthCredential","id_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/oauth_auth_credential.h",58
"firebase::auth::OAuthCredential","raw_nonce_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/oauth_auth_credential.h",59
"firebase::auth::OAuthCredential","provider_id_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/oauth_auth_credential.h",57
"firebase::auth::FederatedProviderData","provider_id","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/types.h",438
"firebase::auth::FederatedOAuthProviderData","custom_parameters","field","map<basic_string<char, char_traits<char>, allocator<char>>, basic_string<char, char_traits<char>, allocator<char>>, less<basic_string<char, char_traits<char>, allocator<char>>>, allocator<pair<const basic_string<char, char_traits<char>, allocator<char>>, basic_string<char, char_traits<char>, allocator<char>>>>>","map<basic_string<char, char_traits<char>, allocator<char>>, basic_string<char, char_traits<char>, allocator<char>>, less<basic_string<char, char_traits<char>, allocator<char>>>, allocator<pair<const basic_string<char, char_traits<char>, allocator<char>>, basic_string<char, char_traits<char>, allocator<char>>>>>","auth/src/include/firebase/auth/types.h",467
"firebase::auth::FederatedOAuthProviderData","scopes","field","vector<basic_string<char, char_traits<char>, allocator<char>>, allocator<basic_string<char, char_traits<char>, allocator<char>>>>","vector<basic_string<char, char_traits<char>, allocator<char>>, allocator<basic_string<char, char_traits<char>, allocator<char>>>>","auth/src/include/firebase/auth/types.h",464
"firebase::auth::FederatedOAuthProvider","provider_data_","field","FederatedOAuthProviderData","FederatedOAuthProviderData","auth/src/include/firebase/auth.h",946
"firebase::auth::PlayGamesAuthCredential","server_auth_code_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/playgames_auth_credential.h",46
"firebase::auth::TwitterAuthCredential","token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/twitter_auth_credential.h",46
"firebase::auth::TwitterAuthCredential","secret_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/twitter_auth_credential.h",47
"firebase::auth::UserView::Writer","user_data_","field","UserData *","UserData *","auth/src/desktop/user_view.h",101
"firebase::auth::UserView::Writer","mutex_","field","Mutex *","Mutex *","auth/src/desktop/user_view.h",103
"firebase::auth::UserView::Writer","auth_data_","field","AuthData *","AuthData *","auth/src/desktop/user_view.h",102
"firebase::auth::UserInfoInterfaceImpl","impl","field","UserInfoImpl","UserInfoImpl","auth/src/desktop/provider_user_info.h",39
"firebase::auth::(unnamed namespace)::ErrorCodeToDescription","description","field","char *","char *","auth/src/desktop/rpcs/error_codes.cc",84
"firebase::auth::(unnamed namespace)::ErrorCodeToDescription","error_code","field","AuthError","AuthError","auth/src/desktop/rpcs/error_codes.cc",83
"firebase::auth::(unnamed namespace)::BackendErrorToCode","error_code","field","AuthError","AuthError","auth/src/desktop/rpcs/error_codes.cc",27
"firebase::auth::(unnamed namespace)::BackendErrorToCode","backend_error","field","char *","char *","auth/src/desktop/rpcs/error_codes.cc",26
"firebase::auth::SetAccountInfoResult","user_impl_","field","UserData","UserData","auth/src/desktop/set_account_info_result.h",95
"firebase::auth::SetAccountInfoResult","error_","field","AuthError","AuthError","auth/src/desktop/set_account_info_result.h",93
"firebase::auth::SetAccountInfoResult","provider_data_","field","vector<UserInfoImpl, allocator<UserInfoImpl>>","vector<UserInfoImpl, allocator<UserInfoImpl>>","auth/src/desktop/set_account_info_result.h",96
"firebase::auth::TokenUpdate","id_token","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/set_account_info_result.h",50
"firebase::auth::TokenUpdate","refresh_token","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/set_account_info_result.h",52
"firebase::auth::AuthDataHandle<void, GetAccountInfoRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
